City,DATE,NO2 (Âµg/mÂ³),SO2 (Âµg/mÂ³),PM10 (Âµg/mÂ³),PM2.5 (Âµg/mÂ³),AQI,Category
Raipur,03.12.2024,20.83,18.17,85.67,36.15,85.67,SATISFACTORY
Raipur,06.12.2024,19.83,16.83,81.67,33,81.67,SATISFACTORY
Raipur,10.12.2024,18.5,15.17,79,30.22,79,SATISFACTORY
Raipur,13.12.2024,17.33,14,74,29.26,74,SATISFACTORY
Raipur,17.12.2024,15.5,13,69.67,26.51,69.67,SATISFACTORY
Raipur,20.12.2024,14.83,12,67,23.63,67,SATISFACTORY
Raipur,24.12.2024,16.83,14.83,72,28.02,72,SATISFACTORY
Raipur,27.12.2024,15.67,13.5,68.33,24.87,68.33,SATISFACTORY
Raipur,31.12.2024,14.33,10.83,63,19.09,63,SATISFACTORY
Raipur,01.11.2024,20.67,16.17,80,42.63,80,SATISFACTORY
Raipur,05.11.2024,19.5,12.33,56.33,28.51,56.33,SATISFACTORY
Raipur,08.11.2024,16,13,61,34.36,61,SATISFACTORY
Raipur,12.11.2024,18,15,64.67,37.25,64.67,SATISFACTORY
Raipur,15.11.2024,19.33,16.17,70.33,31.84,70.33,SATISFACTORY
Raipur,19.11.2024,16.17,13.17,67.67,25.28,67.67,SATISFACTORY
Raipur,22.11.2024,16.5,13,70.67,28.41,70.67,SATISFACTORY
Raipur,26.11.2024,14.67,12.83,67,30.46,67,SATISFACTORY
Raipur,29.11.2024,17.17,14.5,61.67,27.4,61.67,SATISFACTORY
Raipur,01.10.2024,15.75,12,49,19.7,49,GOOD
Raipur,04.10.2024,18.83,13.83,59,25.09,59,SATISFACTORY
Raipur,08.10.2024,16.25,12.75,51.5,20.38,51.5,SATISFACTORY
Raipur,11.10.2024,9.5,6.5,41,11.42,41,GOOD
Raipur,15.10.2024,17.17,13.5,61.67,27.15,61.67,SATISFACTORY
Raipur,18.10.2024,19.5,14.83,64.67,28.93,64.67,SATISFACTORY
Raipur,22.10.2024,18.5,13,58.67,24.88,58.67,SATISFACTORY
Raipur,25.10.2024,18,13.67,60.67,30.94,60.67,SATISFACTORY
Raipur,29.10.2024,20.67,14.83,69,36.72,69,SATISFACTORY
Raipur,03.09.2024,12,9.5,46.5,15.44,46.5,GOOD
Raipur,06.09.2024,11.25,8.75,40.5,16.12,40.5,GOOD
Raipur,10.09.2024,10,9,36,10.73,36,GOOD
Raipur,13.09.2024,14.46,13,59.66,26.21,59.66,SATISFACTORY
Raipur,17.09.2024,11.66,8.66,42,13.96,42,GOOD
Raipur,20.09.2024,17.5,14.83,63,27.22,63,SATISFACTORY
Raipur,24.09.2024,12.75,10.5,57.5,18.09,57.5,SATISFACTORY
Raipur,27.09.2024,8.5,6.5,43,11.82,43,GOOD
Raipur,02.08.2024,11,9.5,37,7.59,37,GOOD
Raipur,06.08.2024,12.5,10,35,10.15,35,GOOD
Raipur,07.08.2024,11.5,9,39,11.46,39,GOOD
